,icao,iata,name,shortName,municipalityName,countryCode,lat,lon,from,averageDailyFlights,dist,co2KGPerPerson,percentageco2(%)
91,MKJS,MBJ,"Sangster, Montego Bay",Sangster,Montego Bay,JM,18.5037,-77.9134,BOS,0.87,2724.95,313.37,8.635779912586738
92,KMDT,MDT,"Harrisburg, Harrisburg",,Harrisburg,US,40.1935,-76.7634,BOS,0.86,538.87,61.97,1.7077553090053297
93,KMEM,MEM,"Memphis, Memphis",,Memphis,US,35.0424,-89.9767,BOS,0.86,1833.67,210.87,5.811107987896626
94,KPDX,PDX,"Portland, Portland",,Portland,US,45.5887,-122.598,BOS,0.86,4082.96,469.54,12.93947761481947
95,MDSD,SDQ,"Las Américas, Santo Domingo City",Las Américas,Santo Domingo City,DO,18.4297,-69.6689,BOS,0.86,2656.74,305.53,8.419726957566539
96,EINN,SNN,"Shannon, Limerick city",Shannon,Limerick city,IE,52.702,-8.924819,BOS,0.86,4658.97,535.78,14.764904622541158
97,PHNL,HNL,"Honolulu, Honolulu",,Honolulu,US,21.3187,-157.922,BOS,0.71,8199.16,942.9,25.984225929661537
98,LPPD,PDL,"João Paulo II, Ponta Delgada",João Paulo II,Ponta Delgada,PT,37.7412,-25.6979,BOS,0.6,3854.21,443.23,12.214432557857549
99,KBZN,BZN,"Gallatin Field, Bozeman",Gallatin Field,Bozeman,US,45.7775,-111.153,BOS,0.57,3204.01,368.46,10.153937730451892
100,KBTV,BTV,"Burlington, Burlington",,Burlington,US,44.4719,-73.1533,BOS,0.57,291.35,33.51,0.9234610360621043
101,LTFM,IST,"Istanbul, Istanbul",,Istanbul,TR,41.275276,28.751944,BOS,0.57,7746.76,890.88,24.550670480662713
102,LEMD,MAD,"Adolfo Suárez Madrid–Barajas, Madrid",Adolfo Suárez –Barajas,Madrid,ES,40.4936,-3.56676,BOS,0.57,5487.41,631.05,17.390333834884835
103,KMHT,MHT,"Manchester, Manchester",,Manchester,US,42.9326,-71.4357,BOS,0.57,72.03,8.28,0.22817837596521107
104,KMMU,MMU,"Morristown Municipal, Morristown",Municipal,Morristown,US,40.7994,-74.4149,BOS,0.57,332.97,38.29,1.0551871999647262
